shape_id,center_x,center_y,angle,major_axis_length_px,minor_axis_length_px,major_axis_length_mm,minor_axis_length_mm,area_px2,area_mm2,perimeter_px,perimeter_mm,eccentricity,equivalent_diameter_px,equivalent_diameter_mm
1,631.5650634765625,49.63807678222656,36.44176483154297,80.02450561523438,75.54015350341797,80.02450561523438,75.54015350341797,4747.781721991149,4747.781721991149,488.82232177019614,488.82232177019614,0.3300519660544749,77.75000603350419,77.75000603350419
2,763.6705322265625,68.07894897460938,174.38645935058594,32.675506591796875,31.116729736328125,32.675506591796875,31.116729736328125,798.5574370658109,798.5574370658109,200.43913718600456,200.43913718600456,0.305178236118862,31.886594481294978,31.886594481294978
3,951.9408569335938,114.97108459472656,67.7553939819336,70.4579086303711,66.41581726074219,70.4579086303711,66.41581726074219,3675.2860869885635,3675.2860869885635,430.0952491642061,430.0952491642061,0.33383614742819984,68.40701414452174,68.40701414452174
4,357.8235778808594,155.31651306152344,94.81793212890625,68.4346694946289,60.07728958129883,68.4346694946289,60.07728958129883,3229.0620202850155,3229.0620202850155,404.1592005669265,404.1592005669265,0.478884378570953,64.11996145218194,64.11996145218194
5,851.1984252929688,177.628662109375,108.85088348388672,58.05269241333008,55.276222229003906,58.05269241333008,55.276222229003906,2520.290498437754,2520.290498437754,356.08671153362627,356.08671153362627,0.30555859555795484,56.64744942917768,56.64744942917768
6,149.3916473388672,248.33070373535156,158.60134887695312,19.231903076171875,18.871105194091797,19.231903076171875,18.871105194091797,285.04240818918873,285.04240818918873,119.7068141107353,119.7068141107353,0.19279215625808943,19.050650016023525,19.050650016023525
7,403.0418395996094,288.5243225097656,87.26583099365234,54.07640838623047,52.46816635131836,54.07640838623047,52.46816635131836,2228.402347871415,2228.402347871415,334.73871962458367,334.73871962458367,0.24206585606059974,53.2662181020069,53.2662181020069
8,751.9231567382812,320.7324523925781,62.29377746582031,69.12947845458984,67.83423614501953,69.12947845458984,67.83423614501953,3683.0032380482526,3683.0032380482526,430.2938198992041,430.2938198992041,0.19267039769511687,68.47879501035841,68.47879501035841
9,561.8949584960938,321.1421813964844,6.246037483215332,50.60292053222656,47.75432586669922,50.60292053222656,47.75432586669922,1897.9212253459125,1897.9212253459125,309.0632016094963,309.0632016094963,0.33078280563330054,49.157993825039604,49.157993825039604
10,671.1813354492188,355.4241027832031,170.4021453857422,122.10540008544922,53.96108627319336,122.10540008544922,53.96108627319336,5174.941397067772,5174.941397067772,574.0412381059896,574.0412381059896,0.897053384520968,81.17228608603874,81.17228608603874
11,526.2667236328125,412.640869140625,1.6035356521606445,117.42314910888672,52.99099349975586,117.42314910888672,52.99099349975586,4887.037444665723,4887.037444665723,554.6791772997615,554.6791772997615,0.8923812243689414,78.88199624217098,78.88199624217098
12,391.58349609375,421.106689453125,87.8214111328125,54.762542724609375,51.450355529785156,54.762542724609375,51.450355529785156,2212.900396116946,2212.900396116946,333.7587884985243,333.7587884985243,0.3425014873000753,53.08062069057032,53.08062069057032
13,450.0042419433594,444.59075927734375,120.78203582763672,14.315073013305664,13.405961990356445,14.315073013305664,13.405961990356445,150.7236603662591,150.7236603662591,87.11161757671583,87.11161757671583,0.3506869581060084,13.853061925276775,13.853061925276775
14,410.9846496582031,508.07904052734375,5.820103645324707,84.23223876953125,73.41964721679688,84.23223876953125,73.41964721679688,4857.138847369319,4857.138847369319,495.8606169851934,495.8606169851934,0.4901580509481698,78.64032842467014,78.64032842467014
15,785.0599365234375,492.67596435546875,30.29686737060547,51.35603332519531,48.8182487487793,51.35603332519531,48.8182487487793,1969.0808536279558,1969.0808536279558,314.7572850601479,314.7572850601479,0.3104659841273419,50.07106559301474,50.07106559301474
16,175.66891479492188,556.2168579101562,48.2228889465332,56.599369049072266,34.181427001953125,56.599369049072266,34.181427001953125,1519.468358885979,1519.468358885979,289.5609597577156,289.5609597577156,0.7970457944128727,43.98462460346193,43.98462460346193
17,222.7062225341797,571.0079956054688,147.84197998046875,28.727691650390625,27.614652633666992,28.727691650390625,27.614652633666992,623.0604674296716,623.0604674296716,177.02196465026694,177.02196465026694,0.2756588373840686,28.165674603897433,28.165674603897433
